peak,n,d,condition,epoch,loglik
FALSE,10,4,realsfs,93,-13315348
FALSE,10,4,realsfs,96,-13315456
FALSE,10,4,realsfs,99,-13315510
FALSE,10,4,realsfs,102,-13315701
FALSE,10,4,winsfs_b500_w100,1,-13302043
FALSE,10,4,winsfs_b500_w100,2,-13301267
FALSE,10,4,winsfs_b500_w100,3,-13301562
FALSE,10,4,winsfs_b500_w100,4,-13301893
FALSE,10,4,winsfs_b500_w100,5,-13302223
FALSE,10,4,winsfs_b500_w100,6,-13302541
FALSE,10,4,winsfs_b500_w100,7,-13302843
FALSE,10,4,winsfs_b500_w100,8,-13303129
FALSE,10,4,winsfs_b500_w100,9,-13303401
FALSE,10,4,winsfs_b500_w100,10,-13303659
FALSE,10,4,winsfs_b500_w100,11,-13303906
FALSE,10,4,winsfs_b500_w100,12,-13304142
FALSE,10,4,winsfs_b500_w100,13,-13304369
FALSE,10,4,winsfs_b500_w100,14,-13304587
FALSE,10,4,winsfs_b500_w100,15,-13304798
FALSE,10,4,winsfs_b500_w100,16,-13305002
FALSE,10,4,winsfs_b500_w100,17,-13305200
FALSE,10,4,winsfs_b500_w100,18,-13305392
FALSE,10,4,winsfs_b500_w100,19,-13305579
FALSE,10,4,winsfs_b500_w100,20,-13305761
FALSE,10,4,winsfs_b500_w100,21,-13305939
FALSE,10,4,winsfs_b500_w100,22,-13306113
FALSE,10,4,winsfs_b500_w100,23,-13306283
FALSE,10,4,winsfs_b500_w100,24,-13306450
FALSE,10,4,winsfs_b500_w100,25,-13306613
FALSE,10,4,winsfs_b500_w100,26,-13306773
FALSE,10,4,winsfs_b500_w100,27,-13306931
FALSE,10,4,winsfs_b500_w100,28,-13307086
FALSE,10,4,winsfs_b500_w100,29,-13307238
FALSE,10,4,winsfs_b500_w100,30,-13307389
FALSE,10,4,winsfs_b500_w100,31,-13307536
FALSE,10,4,winsfs_b500_w100,32,-13307682
FALSE,10,4,winsfs_b500_w100,33,-13307826
FALSE,10,4,winsfs_b500_w100,34,-13307968
FALSE,10,4,winsfs_b500_w100,35,-13308108
FALSE,10,4,winsfs_b500_w100,36,-13308247
FALSE,10,4,winsfs_b500_w100,37,-13308384
FALSE,10,4,winsfs_b500_w100,38,-13308520
FALSE,10,4,winsfs_b500_w100,39,-13308654
FALSE,10,4,winsfs_b500_w100,40,-13308786
FALSE,10,4,winsfs_b500_w100,41,-13308918
FALSE,10,4,winsfs_b500_w100,42,-13309048
FALSE,10,4,winsfs_b500_w100,43,-13309177
FALSE,10,4,winsfs_b500_w100,44,-13309304
FALSE,10,4,winsfs_b500_w100,45,-13309431
FALSE,10,4,winsfs_b500_w100,46,-13309557
FALSE,10,4,winsfs_b500_w100,47,-13309681
FALSE,10,4,winsfs_b500_w100,48,-13309805
FALSE,10,4,winsfs_b500_w100,49,-13309928
FALSE,10,4,winsfs_b500_w100,50,-13310049
FALSE,10,4,winsfs_b500_w100,51,-13310170
FALSE,10,4,winsfs_b500_w100,52,-13310290
FALSE,10,4,winsfs_b500_w100,53,-13310409
FALSE,10,4,winsfs_b500_w100,54,-13310528
FALSE,10,4,winsfs_b500_w100,55,-13310646
FALSE,10,4,winsfs_b500_w100,56,-13310763
FALSE,10,4,winsfs_b500_w100,57,-13310879
FALSE,10,4,winsfs_b500_w100,58,-13310994
FALSE,10,4,winsfs_b500_w100,59,-13311109
FALSE,10,4,winsfs_b500_w100,60,-13311224
FALSE,10,4,winsfs_b500_w100,61,-13311337
FALSE,10,4,winsfs_b500_w100,62,-13311450
FALSE,10,4,winsfs_b500_w100,63,-13311563
FALSE,10,4,winsfs_b500_w100,64,-13311675
FALSE,10,4,winsfs_b500_w100,65,-13311786
FALSE,10,4,winsfs_b500_w100,66,-13311897
FALSE,10,4,winsfs_b500_w100,67,-13312007
FALSE,10,4,winsfs_b500_w100,68,-13312117
