condition,epoch,i,x
winsfs_b500_w100,1,5,268945.317788
winsfs_b500_w100,1,6,214411.479577
winsfs_b500_w100,1,7,173433.594622
winsfs_b500_w100,1,8,147375.397539
winsfs_b500_w100,1,9,126912.503563
winsfs_b500_w100,1,10,124801.382743
winsfs_b500_w100,1,11,100374.430161
winsfs_b500_w100,1,12,96392.595843
winsfs_b500_w100,1,13,88566.364464
winsfs_b500_w100,1,14,85337.768465
winsfs_b500_w100,1,15,83787.875942
winsfs_b500_w100,1,16,84966.495488
winsfs_b500_w100,1,17,93146.673178
winsfs_b500_w100,1,18,104706.095666
winsfs_b500_w100,1,19,135451.235721
winsfs_b500_w100,1,20,14735719.965462
winsfs_b500_w100,2,0,1153742574.062364
winsfs_b500_w100,2,1,1482246.994518
winsfs_b500_w100,2,2,789974.808005
winsfs_b500_w100,2,3,507191.251671
winsfs_b500_w100,2,4,354449.769806
winsfs_b500_w100,2,5,268820.378463
winsfs_b500_w100,2,6,215166.204698
winsfs_b500_w100,2,7,172815.626111
winsfs_b500_w100,2,8,148266.71376
winsfs_b500_w100,2,9,125078.761767
winsfs_b500_w100,2,10,127179.306154
winsfs_b500_w100,2,11,98564.22302
winsfs_b500_w100,2,12,97177.808864
winsfs_b500_w100,2,13,88297.446364
winsfs_b500_w100,2,14,85501.306329
winsfs_b500_w100,2,15,83796.968108
winsfs_b500_w100,2,16,84905.036578
winsfs_b500_w100,2,17,92910.298781
winsfs_b500_w100,2,18,105162.502399
winsfs_b500_w100,2,19,135135.539857
winsfs_b500_w100,2,20,14735807.992383
winsfs_b500_w100,3,0,1153742578.830859
winsfs_b500_w100,3,1,1482222.322104
winsfs_b500_w100,3,2,790042.52675
winsfs_b500_w100,3,3,507083.313675
winsfs_b500_w100,3,4,354569.784093
winsfs_b500_w100,3,5,268677.384142
winsfs_b500_w100,3,6,215392.097801
winsfs_b500_w100,3,7,172422.728764
winsfs_b500_w100,3,8,148933.17174
winsfs_b500_w100,3,9,124107.996311
winsfs_b500_w100,3,10,128284.302857
winsfs_b500_w100,3,11,97631.422586
winsfs_b500_w100,3,12,97737.602652
winsfs_b500_w100,3,13,88063.828254
winsfs_b500_w100,3,14,85570.960575
winsfs_b500_w100,3,15,83776.827929
winsfs_b500_w100,3,16,84921.23503
winsfs_b500_w100,3,17,92891.032579
winsfs_b500_w100,3,18,105176.635242
winsfs_b500_w100,3,19,135129.932823
winsfs_b500_w100,3,20,14735809.063235
winsfs_b500_w100,4,0,1153742578.961407
winsfs_b500_w100,4,1,1482221.271267
winsfs_b500_w100,4,2,790047.311085
winsfs_b500_w100,4,3,507069.270719
winsfs_b500_w100,4,4,354601.029262
winsfs_b500_w100,4,5,268615.195843
winsfs_b500_w100,4,6,215516.201303
winsfs_b500_w100,4,7,172185.951866
winsfs_b500_w100,4,8,149321.702354
winsfs_b500_w100,4,9,123589.428274
winsfs_b500_w100,4,10,128847.816083
winsfs_b500_w100,4,11,97138.351022
winsfs_b500_w100,4,12,98068.580034
winsfs_b500_w100,4,13,87901.190303
winsfs_b500_w100,4,14,85628.39069
winsfs_b500_w100,4,15,83761.00272
winsfs_b500_w100,4,16,84926.287322
winsfs_b500_w100,4,17,92888.636054
winsfs_b500_w100,4,18,105177.663977
winsfs_b500_w100,4,19,135129.654839
winsfs_b500_w100,4,20,14735809.10358
winsfs_b500_w100,5,0,1153742578.973125
winsfs_b500_w100,5,1,1482221.133444
winsfs_b500_w100,5,2,790048.173804
winsfs_b500_w100,5,3,507065.705259
winsfs_b500_w100,5,4,354612.336736
winsfs_b500_w100,5,5,268585.026556
winsfs_b500_w100,5,6,215586.370808
winsfs_b500_w100,5,7,172048.972344
winsfs_b500_w100,5,8,149538.64356
winsfs_b500_w100,5,9,123311.461155
winsfs_b500_w100,5,10,129144.673399
winsfs_b500_w100,5,11,96873.361631
winsfs_b500_w100,5,12,98257.331549
winsfs_b500_w100,5,13,87798.854032
winsfs_b500_w100,5,14,85669.490394
winsfs_b500_w100,5,15,83748.822331
winsfs_b500_w100,5,16,84929.095653
winsfs_b500_w100,5,17,92888.034707
winsfs_b500_w100,5,18,105177.805784
winsfs_b500_w100,5,19,135129.626448
winsfs_b500_w100,5,20,14735809.107281
winsfs_b500_w100,6,0,1153742578.975165
winsfs_b500_w100,6,1,1482221.099933
winsfs_b500_w100,6,2,790048.435606
winsfs_b500_w100,6,3,507064.333371
winsfs_b500_w100,6,4,354617.67939
winsfs_b500_w100,6,5,268568.804227
winsfs_b500_w100,6,6,215625.97958
winsfs_b500_w100,6,7,171971.914295
winsfs_b500_w100,6,8,149657.94505
winsfs_b500_w100,6,9,123161.795878
winsfs_b500_w100,6,10,129303.439399
winsfs_b500_w100,6,11,96729.537937
winsfs_b500_w100,6,12,98363.686737
winsfs_b500_w100,6,13,87737.590912999993
winsfs_b500_w100,6,14,85696.224562
winsfs_b500_w100,6,15,83740.124563
winsfs_b500_w100,6,16,84931.175456
winsfs_b500_w100,6,17,92887.677077
winsfs_b500_w100,6,18,105177.851218
winsfs_b500_w100,6,19,135129.621728
winsfs_b500_w100,6,20,14735809.107915
winsfs_b500_w100,7,0,1153742578.975684
winsfs_b500_w100,7,1,1482221.087684
winsfs_b500_w100,7,2,790048.548109
winsfs_b500_w100,7,3,507063.659577
winsfs_b500_w100,7,4,354620.537006
winsfs_b500_w100,7,5,268559.78163
winsfs_b500_w100,7,6,215648.158352
winsfs_b500_w100,7,7,171929.194766
winsfs_b500_w100,7,8,149723.123535
winsfs_b500_w100,7,9,123080.933391
winsfs_b500_w100,7,10,129389.096489
winsfs_b500_w100,7,11,96651.014866
winsfs_b500_w100,7,12,98423.265311
winsfs_b500_w100,7,13,87701.877712
