condition,epoch,i,x
realsfs,37,11,100430.984528
realsfs,37,12,63245.481283
realsfs,37,13,29732.325254
realsfs,37,14,105371.10106
realsfs,37,15,14650.091142
realsfs,37,16,72204.115459
realsfs,37,17,25503.298278
realsfs,37,18,61254.791173
realsfs,37,19,23618.852129
realsfs,37,20,43907.661162
realsfs,37,21,30566.331035
realsfs,37,22,29577.170583
realsfs,37,23,28135.381099
realsfs,37,24,27401.09001
realsfs,40,0,631698453.952029
realsfs,40,1,531997.269177
realsfs,40,2,416534.470633
realsfs,40,3,239783.241522
realsfs,40,4,257991.175744
realsfs,40,5,59353.545067
realsfs,40,6,220007.234004
realsfs,40,7,82163.783791
realsfs,40,8,105006.083831
realsfs,40,9,104768.141312
realsfs,40,10,68527.85488
realsfs,40,11,99833.127704
realsfs,40,12,63980.739688
realsfs,40,13,30133.80961
realsfs,40,14,104800.011332
realsfs,40,15,14689.632615
realsfs,40,16,72493.792918
realsfs,40,17,25567.529713
realsfs,40,18,60896.039422
realsfs,40,19,23921.779117
realsfs,40,20,43689.355342
realsfs,40,21,30525.419446
realsfs,40,22,29502.82312
realsfs,40,23,28103.689146
realsfs,40,24,27508.498837
realsfs,43,0,631693169.343014
realsfs,43,1,533540.090301
realsfs,43,2,416355.43779
realsfs,43,3,251702.568026
realsfs,43,4,231253.823888
realsfs,43,5,102127.954798
realsfs,43,6,194578.059058
realsfs,43,7,77452.935026
realsfs,43,8,115125.463098
realsfs,43,9,107803.265448
realsfs,43,10,63562.025492
realsfs,43,11,90853.495418
realsfs,43,12,71955.272931
realsfs,43,13,34674.219548
realsfs,43,14,95396.266441
realsfs,43,15,15468.832356
realsfs,43,16,75484.95707
realsfs,43,17,26258.773858
realsfs,43,18,56620.981734
realsfs,43,19,28680.287692
realsfs,43,20,41863.595906
realsfs,43,21,31423.166514
realsfs,43,22,29644.36183
realsfs,43,23,28128.71249
realsfs,43,24,27109.110273
realsfs,46,0,631698436.504366
realsfs,46,1,532321.607394
realsfs,46,2,414250.269516
realsfs,46,3,250481.826861
realsfs,46,4,228512.677952
realsfs,46,5,102997.043104
realsfs,46,6,192991.262124
realsfs,46,7,77657.555631
realsfs,46,8,115691.033498
realsfs,46,9,108165.373116
realsfs,46,10,63947.883909
realsfs,46,11,91397.158894
realsfs,46,12,72707.088749
realsfs,46,13,35056.466337
realsfs,46,14,95807.798293
realsfs,46,15,15623.727941
realsfs,46,16,75666.853729
realsfs,46,17,26219.44393
realsfs,46,18,56147.552176
realsfs,46,19,28622.060924
realsfs,46,20,41341.028088
realsfs,46,21,31149.473535
realsfs,46,22,29420.494361
realsfs,46,23,28111.875342
realsfs,46,24,27508.940233
realsfs,49,0,631694592.979356
realsfs,49,1,540872.030911
realsfs,49,2,402133.841333
realsfs,49,3,260412.743941
realsfs,49,4,214409.077977
realsfs,49,5,139018.395243
realsfs,49,6,160366.406267
realsfs,49,7,83326.457112
realsfs,49,8,118817.463393
realsfs,49,9,104331.86287
realsfs,49,10,67321.067949
realsfs,49,11,90797.370426
realsfs,49,12,76372.167031
realsfs,49,13,37213.675827
realsfs,49,14,87406.570211
realsfs,49,15,18041.631139
realsfs,49,16,75538.846519
realsfs,49,17,27198.564375
realsfs,49,18,53822.392758
realsfs,49,19,33742.81093
realsfs,49,20,37865.342974
realsfs,49,21,31086.821197
realsfs,49,22,28847.422418
realsfs,49,23,29466.527851
realsfs,49,24,27230.529992
realsfs,52,0,631697206.712825
realsfs,52,1,534755.586349
realsfs,52,2,410328.896916
realsfs,52,3,259133.585675
realsfs,52,4,207813.806088
realsfs,52,5,137969.79411
realsfs,52,6,162580.3368
realsfs,52,7,86447.703494
realsfs,52,8,120736.843571
realsfs,52,9,103430.553538
realsfs,52,10,66009.33984
realsfs,52,11,88382.51925
realsfs,52,12,75476.436939
realsfs,52,13,37679.023826
realsfs,52,14,89453.78395
realsfs,52,15,18671.308075
realsfs,52,16,76151.401438
realsfs,52,17,26940.379038
realsfs,52,18,52355.112747
realsfs,52,19,33314.550993
realsfs,52,20,38260.5495
realsfs,52,21,32166.591542
realsfs,52,22,29225.237849
realsfs,52,23,28215.238719
realsfs,52,24,27527.706929
realsfs,55,0,631698186.260746
realsfs,55,1,533064.090492
realsfs,55,2,411712.762172
realsfs,55,3,259340.450066
realsfs,55,4,206202.530498
realsfs,55,5,138182.684937
realsfs,55,6,162583.43113
realsfs,55,7,87407.676796
realsfs,55,8,120728.779394
realsfs,55,9,102938.326109
realsfs,55,10,66021.758723
realsfs,55,11,88093.01757
realsfs,55,12,75495.144421
realsfs,55,13,37869.315073
realsfs,55,14,89562.646761
realsfs,55,15,18857.642995
realsfs,55,16,76025.977411
realsfs,55,17,26958.705551
realsfs,55,18,52159.045805
realsfs,55,19,33420.439014
realsfs,55,20,38305.078288
realsfs,55,21,32274.704454
realsfs,55,22,29194.784248
realsfs,55,23,28128.895428
realsfs,55,24,27518.85192
realsfs,58,0,631698377.446746
realsfs,58,1,532561.80973
realsfs,58,2,412062.656271
realsfs,58,3,259892.693671
realsfs,58,4,205026.024024
realsfs,58,5,138911.389048
realsfs,58,6,161948.602651
realsfs,58,7,88463.161243
realsfs,58,8,120404.394759
realsfs,58,9,102401.194111
realsfs,58,10,66373.642479
realsfs,58,11,87936.590986
realsfs,58,12,75537.725348
realsfs,58,13,38062.343494
realsfs,58,14,89326.173324
realsfs,58,15,19108.825272
realsfs,58,16,75822.710449
realsfs,58,17,27067.665597
realsfs,58,18,51989.889198
realsfs,58,19,33587.502515
realsfs,58,20,38235.274773
realsfs,58,21,32313.461298
realsfs,58,22,29161.992092
realsfs,58,23,28139.731427
realsfs,58,24,27520.099493
realsfs,61,0,631698419.230551
realsfs,61,1,532565.310561
realsfs,61,2,411931.463069
realsfs,61,3,260225.932977
realsfs,61,4,204472.970796
realsfs,61,5,139515.210804
realsfs,61,6,161258.057888
realsfs,61,7,89154.229315
realsfs,61,8,120145.588425
realsfs,61,9,102113.206669
realsfs,61,10,66717.315451
realsfs,61,11,87820.916128
realsfs,61,12,75525.979175
realsfs,61,13,38187.039039
realsfs,61,14,89105.655101
realsfs,61,15,19308.515726
realsfs,61,16,75700.495882
realsfs,61,17,27171.727531
realsfs,61,18,51874.129953
realsfs,61,19,33701.977338
realsfs,61,20,38167.485707
realsfs,61,21,32342.136359
realsfs,61,22,29153.518913
realsfs,61,23,28139.863795
realsfs,61,24,27515.042847
realsfs,64,0,631698359.381686
realsfs,64,1,532610.517587
realsfs,64,2,411795.400799
realsfs,64,3,260649.424526
realsfs,64,4,203788.228579
realsfs,64,5,140459.792292
realsfs,64,6,160140.53585
realsfs,64,7,90194.121945
realsfs,64,8,119759.338577
realsfs,64,9,101723.902361
realsfs,64,10,67259.979687
realsfs,64,11,87596.594767
realsfs,64,12,75482.891647
realsfs,64,13,38385.355272
realsfs,64,14,88770.406997
realsfs,64,15,19625.574037
realsfs,64,16,75490.634093
realsfs,64,17,27333.275504
realsfs,64,18,51686.749043
realsfs,64,19,33867.37446
realsfs,64,20,38062.240072
realsfs,64,21,32382.384427
realsfs,64,22,29142.691124
realsfs,64,23,28144.245744
realsfs,64,24,27521.958924
realsfs,67,0,631698437.037291
realsfs,67,1,532606.724297
realsfs,67,2,411715.032944
realsfs,67,3,260772.066962
realsfs,67,4,203481.808191
realsfs,67,5,140896.48387
realsfs,67,6,159575.723767
realsfs,67,7,90687.907528
realsfs,67,8,119572.368238
realsfs,67,9,101554.601681
realsfs,67,10,67529.015448
realsfs,67,11,87474.915807
realsfs,67,12,75464.271659
realsfs,67,13,38490.87891
realsfs,67,14,88617.085016
realsfs,67,15,19785.551255
realsfs,67,16,75387.094355
realsfs,67,17,27417.953963
realsfs,67,18,51604.44397
realsfs,67,19,33949.495523
realsfs,67,20,38018.543248
realsfs,67,21,32403.263862
realsfs,67,22,29137.66093
realsfs,67,23,28141.124093
realsfs,67,24,27511.947189
realsfs,70,0,631698249.559519
realsfs,70,1,532668.21515
realsfs,70,2,411648.811094
realsfs,70,3,261228.16296
realsfs,70,4,202636.437134
realsfs,70,5,142410.368872
realsfs,70,6,157692.558981
realsfs,70,7,92385.621919
realsfs,70,8,118928.304661
realsfs,70,9,100999.635379
realsfs,70,10,68446.947121
realsfs,70,11,86997.929192
realsfs,70,12,75384.509676
realsfs,70,13,38860.49706
realsfs,70,14,88050.01401
realsfs,70,15,20339.520753
realsfs,70,16,74971.676075
realsfs,70,17,27707.281645
realsfs,70,18,51299.116249
realsfs,70,19,34202.002133
realsfs,70,20,37855.49469
realsfs,70,21,32460.197596
realsfs,70,22,29123.446583
realsfs,70,23,28152.570941
realsfs,70,24,27534.120608
realsfs,73,0,631698451.560081
realsfs,73,1,532633.196103
realsfs,73,2,411564.507273
realsfs,73,3,261223.123873
realsfs,73,4,202451.547039
realsfs,73,5,142636.258136
realsfs,73,6,157329.77453
realsfs,73,7,92681.794235
realsfs,73,8,118804.076973
realsfs,73,9,100910.023485
realsfs,73,10,68620.5641
realsfs,73,11,86912.87507
realsfs,73,12,75385.06342
realsfs,73,13,38940.310448
realsfs,73,14,87961.73002
realsfs,73,15,20448.333883
realsfs,73,16,74909.066611
realsfs,73,17,27771.114983
realsfs,73,18,51259.888594
realsfs,73,19,34253.963131
realsfs,73,20,37837.501317
realsfs,73,21,32474.549388
realsfs,73,22,29119.837887
realsfs,73,23,28142.833603
realsfs,73,24,27509.505815
realsfs,76,0,631697310.851404
realsfs,76,1,532817.497504
realsfs,76,2,411686.489566
realsfs,76,3,262495.958858
realsfs,76,4,199792.627008
realsfs,76,5,148911.730775
realsfs,76,6,148815.990178
realsfs,76,7,101016.24841
realsfs,76,8,115279.4374
realsfs,76,9,98733.79324
realsfs,76,10,73362.018335
