condition,epoch,loglik,change
winsfs_b500_w500,5,71.875,6.1345e-5
winsfs_b500_w500,6,71.875,1.7277e-5
winsfs_b500_w500,7,71.875,8.5499e-6
winsfs_b500_w500,8,71.875,5.4387e-6
winsfs_b500_w500,9,71.875,3.8744e-6
winsfs_b500_w500,10,71.875,2.9202e-6
winsfs_b500_w500,11,71.875,2.2741e-6
winsfs_b500_w500,12,71.875,1.8105e-6
winsfs_b500_w500,13,71.875,1.466e-6
winsfs_b500_w500,14,71.875,1.2036e-6
winsfs_b500_w500,15,71.875,1e-6
winsfs_b500_w500,16,71.875,8.3947e-7
winsfs_b500_w500,17,71.875,7.1118e-7
winsfs_b500_w500,18,71.875,6.0739e-7
winsfs_b500_w500,19,71.875,5.2251e-7
winsfs_b500_w500,20,71.875,4.5238e-7
winsfs_b500_w500,21,71.875,3.9394e-7
winsfs_b500_w500,22,71.875,3.4482e-7
winsfs_b500_w500,23,71.875,3.0325e-7
winsfs_b500_w500,24,71.875,2.6781e-7
winsfs_b500_w500,25,71.875,2.3743e-7
winsfs_b500_w500,26,71.875,2.1123e-7
winsfs_b500_w500,27,71.875,1.8852e-7
winsfs_b500_w500,28,71.875,1.6876e-7
winsfs_b500_w500,29,71.875,1.5147e-7
winsfs_b500_w500,30,71.875,1.363e-7
winsfs_b500_w500,31,71.875,1.2294e-7
