peak,n,d,condition,epoch,loglik,change
FALSE,10,4,winsfs_b500_w100,32,94.658,5.6781e-7
FALSE,10,4,winsfs_b500_w100,33,94.658,5.4053e-7
FALSE,10,4,winsfs_b500_w100,34,94.658,5.1533e-7
FALSE,10,4,winsfs_b500_w100,35,94.658,4.92e-7
FALSE,10,4,winsfs_b500_w100,36,94.658,4.7035e-7
FALSE,10,4,winsfs_b500_w100,37,94.658,4.502e-7
FALSE,10,4,winsfs_b500_w100,38,94.658,4.3143e-7
FALSE,10,4,winsfs_b500_w100,39,94.658,4.1388e-7
FALSE,10,4,winsfs_b500_w100,40,94.658,3.9746e-7
FALSE,10,4,winsfs_b500_w100,41,94.658,3.8207e-7
FALSE,10,4,winsfs_b500_w100,42,94.658,3.6761e-7
FALSE,10,4,winsfs_b500_w100,43,94.658,3.5401e-7
FALSE,10,4,winsfs_b500_w100,44,94.658,3.4119e-7
FALSE,10,4,winsfs_b500_w100,45,94.658,3.291e-7
FALSE,10,4,winsfs_b500_w100,46,94.658,3.1768e-7
FALSE,10,4,winsfs_b500_w100,47,94.658,3.0687e-7
FALSE,10,4,winsfs_b500_w100,48,94.658,2.9664e-7
FALSE,10,4,winsfs_b500_w100,49,94.658,2.8693e-7
FALSE,10,4,winsfs_b500_w100,50,94.658,2.8693e-7
FALSE,10,4,winsfs_b500_w250,2,94.687,8.5342
FALSE,10,4,winsfs_b500_w250,3,94.659,0.02817
FALSE,10,4,winsfs_b500_w250,4,94.658,6.2809e-4
FALSE,10,4,winsfs_b500_w250,5,94.658,5.7374e-5
FALSE,10,4,winsfs_b500_w250,6,94.658,2.3799e-5
FALSE,10,4,winsfs_b500_w250,7,94.658,1.6307e-5
FALSE,10,4,winsfs_b500_w250,8,94.658,1.2477e-5
FALSE,10,4,winsfs_b500_w250,9,94.658,9.9612e-6
FALSE,10,4,winsfs_b500_w250,10,94.658,8.1586e-6
FALSE,10,4,winsfs_b500_w250,11,94.658,6.8099e-6
FALSE,10,4,winsfs_b500_w250,12,94.658,5.7723e-6
FALSE,10,4,winsfs_b500_w250,13,94.658,4.9572e-6
FALSE,10,4,winsfs_b500_w250,14,94.658,4.306e-6
FALSE,10,4,winsfs_b500_w250,15,94.658,3.778e-6
FALSE,10,4,winsfs_b500_w250,16,94.658,3.3445e-6
FALSE,10,4,winsfs_b500_w250,17,94.658,2.9844e-6
FALSE,10,4,winsfs_b500_w250,18,94.658,2.6821e-6
FALSE,10,4,winsfs_b500_w250,19,94.658,2.426e-6
FALSE,10,4,winsfs_b500_w250,20,94.658,2.207e-6
FALSE,10,4,winsfs_b500_w250,21,94.658,2.0183e-6
FALSE,10,4,winsfs_b500_w250,22,94.658,1.8546e-6
FALSE,10,4,winsfs_b500_w250,23,94.658,1.7114e-6
FALSE,10,4,winsfs_b500_w250,24,94.658,1.5855e-6
FALSE,10,4,winsfs_b500_w250,25,94.658,1.4742e-6
FALSE,10,4,winsfs_b500_w250,26,94.658,1.3751e-6
FALSE,10,4,winsfs_b500_w250,27,94.658,1.2866e-6
FALSE,10,4,winsfs_b500_w250,28,94.658,1.2072e-6
FALSE,10,4,winsfs_b500_w250,29,94.658,1.1356e-6
FALSE,10,4,winsfs_b500_w250,30,94.658,1.0707e-6
FALSE,10,4,winsfs_b500_w250,31,94.658,1.0118e-6
FALSE,10,4,winsfs_b500_w250,32,94.658,9.5815e-7
FALSE,10,4,winsfs_b500_w250,33,94.658,9.0906e-7
FALSE,10,4,winsfs_b500_w250,34,94.658,8.6402e-7
FALSE,10,4,winsfs_b500_w250,35,94.658,8.2261e-7
FALSE,10,4,winsfs_b500_w250,36,94.658,7.8441e-7
FALSE,10,4,winsfs_b500_w250,37,94.658,7.4909e-7
FALSE,10,4,winsfs_b500_w250,38,94.658,7.1637e-7
FALSE,10,4,winsfs_b500_w250,39,94.658,6.8597e-7
FALSE,10,4,winsfs_b500_w250,40,94.658,6.5769e-7
FALSE,10,4,winsfs_b500_w250,41,94.658,6.3131e-7
FALSE,10,4,winsfs_b500_w250,42,94.658,6.0666e-7
FALSE,10,4,winsfs_b500_w250,43,94.658,5.835900000000002e-7
FALSE,10,4,winsfs_b500_w250,44,94.658,5.6196e-7
FALSE,10,4,winsfs_b500_w250,45,94.658,5.4165e-7
FALSE,10,4,winsfs_b500_w250,46,94.658,5.2255e-7
FALSE,10,4,winsfs_b500_w250,47,94.658,5.0455e-7
FALSE,10,4,winsfs_b500_w250,48,94.658,4.8757e-7
FALSE,10,4,winsfs_b500_w250,49,94.658,4.7154e-7
FALSE,10,4,winsfs_b500_w250,50,94.658,4.7154e-7
FALSE,10,4,winsfs_b500_w500,2,94.916,8.6877
FALSE,10,4,winsfs_b500_w500,3,94.687,0.22845
FALSE,10,4,winsfs_b500_w500,4,94.662,0.02551
FALSE,10,4,winsfs_b500_w500,5,94.659,0.003343
FALSE,10,4,winsfs_b500_w500,6,94.658,5.6119e-4
FALSE,10,4,winsfs_b500_w500,7,94.658,1.2764e-4
FALSE,10,4,winsfs_b500_w500,8,94.658,4.2775e-5
FALSE,10,4,winsfs_b500_w500,9,94.658,2.1549e-5
FALSE,10,4,winsfs_b500_w500,10,94.658,1.4434e-5
FALSE,10,4,winsfs_b500_w500,11,94.658,1.1172e-5
FALSE,10,4,winsfs_b500_w500,12,94.658,9.2441e-6
FALSE,10,4,winsfs_b500_w500,13,94.658,7.9075e-6
FALSE,10,4,winsfs_b500_w500,14,94.658,6.8945e-6
FALSE,10,4,winsfs_b500_w500,15,94.658,6.0876e-6
FALSE,10,4,winsfs_b500_w500,16,94.658,5.4251e-6
FALSE,10,4,winsfs_b500_w500,17,94.658,4.8704e-6
FALSE,10,4,winsfs_b500_w500,18,94.658,4.3992e-6
FALSE,10,4,winsfs_b500_w500,19,94.658,3.9947e-6
FALSE,10,4,winsfs_b500_w500,20,94.658,3.6445e-6
FALSE,10,4,winsfs_b500_w500,21,94.658,3.339e-6
FALSE,10,4,winsfs_b500_w500,22,94.658,3.0709e-6
FALSE,10,4,winsfs_b500_w500,23,94.658,2.8343e-6
FALSE,10,4,winsfs_b500_w500,24,94.658,2.6245e-6
FALSE,10,4,winsfs_b500_w500,25,94.658,2.4377e-6
FALSE,10,4,winsfs_b500_w500,26,94.658,2.2705e-6
FALSE,10,4,winsfs_b500_w500,27,94.658,2.1205e-6
FALSE,10,4,winsfs_b500_w500,28,94.658,1.9853e-6
FALSE,10,4,winsfs_b500_w500,29,94.658,1.8631e-6
FALSE,10,4,winsfs_b500_w500,30,94.658,1.7523e-6
FALSE,10,4,winsfs_b500_w500,31,94.658,1.6515e-6
FALSE,10,4,winsfs_b500_w500,32,94.658,1.5596e-6
FALSE,10,4,winsfs_b500_w500,33,94.658,1.4755e-6
FALSE,10,4,winsfs_b500_w500,34,94.658,1.3985e-6
FALSE,10,4,winsfs_b500_w500,35,94.658,1.3276e-6
FALSE,10,4,winsfs_b500_w500,36,94.658,1.2624e-6
FALSE,10,4,winsfs_b500_w500,37,94.658,1.2021e-6
FALSE,10,4,winsfs_b500_w500,38,94.658,1.1464e-6
FALSE,10,4,winsfs_b500_w500,39,94.658,1.0947e-6
FALSE,10,4,winsfs_b500_w500,40,94.658,1.0467e-6
FALSE,10,4,winsfs_b500_w500,41,94.658,1.0021e-6
FALSE,10,4,winsfs_b500_w500,42,94.658,9.6041e-7
FALSE,10,4,winsfs_b500_w500,43,94.658,9.2151e-7
FALSE,10,4,winsfs_b500_w500,44,94.658,8.8512e-7
FALSE,10,4,winsfs_b500_w500,45,94.658,8.5103e-7
FALSE,10,4,winsfs_b500_w500,46,94.658,8.1904e-7
FALSE,10,4,winsfs_b500_w500,47,94.658,7.8898e-7
FALSE,10,4,winsfs_b500_w500,48,94.658,7.6069e-7
FALSE,10,4,winsfs_b500_w500,49,94.658,7.3403e-7
FALSE,10,4,winsfs_b500_w500,50,94.658,7.3403e-7
FALSE,10,8,winsfs_b500_w100,2,45.274,6.2665
FALSE,10,8,winsfs_b500_w100,3,45.274,2.0263e-6
FALSE,10,8,winsfs_b500_w100,4,45.274,3.0661e-7
FALSE,10,8,winsfs_b500_w100,5,45.274,1.6217e-8
FALSE,10,8,winsfs_b500_w100,6,45.274,8.6969e-10
FALSE,10,8,winsfs_b500_w100,7,45.274,4.6285e-11
FALSE,10,8,winsfs_b500_w100,8,45.274,2.494e-12
FALSE,10,8,winsfs_b500_w100,9,45.274,1.0658e-13
FALSE,10,8,winsfs_b500_w100,10,45.274,2.8422e-14
FALSE,10,8,winsfs_b500_w100,11,45.274,7.1054e-15
FALSE,10,8,winsfs_b500_w100,12,45.274,0
FALSE,10,8,winsfs_b500_w250,2,45.272,6.298
FALSE,10,8,winsfs_b500_w250,3,45.273,1.2673e-5
FALSE,10,8,winsfs_b500_w250,4,45.273,2.1628e-6
FALSE,10,8,winsfs_b500_w250,5,45.272,2.2803e-6
FALSE,10,8,winsfs_b500_w250,6,45.272,5.6716e-7
FALSE,10,8,winsfs_b500_w250,7,45.272,1.0771e-7
